trigger_s,complete_s,event_type,uav_id,cluster_id,latency_ms,details
5,5,JOIN,0,0,0,ok
25,25,JOIN,1,0,0,ok
45,45,JOIN,2,0,0,ok
60,60,REKEY,0,0,0,PERIODIC
60,60,REKEY,1,1,0,PERIODIC
60,60,REKEY,2,2,0,PERIODIC
60,60,REKEY,0,0,0,KDC_INIT
60,60,REKEY,1,1,0,KDC_INIT
60,60,REKEY,2,2,0,KDC_INIT
65,65,JOIN,3,0,0,ok
80,80,REKEY,0,0,0,HANDOVER
80,80,REKEY,1,1,0,HANDOVER
85,85,JOIN,4,0,0,ok
105,105,JOIN,5,1,0,ok
125,125,JOIN,6,1,0,ok
145,145,JOIN,7,1,0,ok
165,165,JOIN,8,1,0,ok
185,185,JOIN,9,1,0,ok
205,205,JOIN,10,2,0,ok
225,225,JOIN,11,2,0,ok
245,245,JOIN,12,2,0,ok
265,265,JOIN,13,2,0,ok
285,285,JOIN,14,2,0,ok
305,305,JOIN,0,0,0,ok
325,325,JOIN,1,0,0,ok
345,345,JOIN,2,0,0,ok
365,365,JOIN,3,0,0,ok
385,385,JOIN,4,0,0,ok
405,405,JOIN,5,1,0,ok
425,425,JOIN,6,1,0,ok
445,445,JOIN,7,1,0,ok
465,465,JOIN,8,1,0,ok
485,485,JOIN,9,1,0,ok
505,505,JOIN,10,2,0,ok
525,525,JOIN,11,2,0,ok
545,545,JOIN,12,2,0,ok
565,565,JOIN,13,2,0,ok
585,585,JOIN,14,2,0,ok
605,605,JOIN,0,0,0,ok
625,625,JOIN,1,0,0,ok
645,645,JOIN,2,0,0,ok
665,665,JOIN,3,0,0,ok
685,685,JOIN,4,0,0,ok
705,705,JOIN,5,1,0,ok
725,725,JOIN,6,1,0,ok
745,745,JOIN,7,1,0,ok
765,765,JOIN,8,1,0,ok
785,785,JOIN,9,1,0,ok
805,805,JOIN,10,2,0,ok
825,825,JOIN,11,2,0,ok
845,845,JOIN,12,2,0,ok
865,865,JOIN,13,2,0,ok
885,885,JOIN,14,2,0,ok
905,905,JOIN,0,0,0,ok
925,925,JOIN,1,0,0,ok
945,945,JOIN,2,0,0,ok
965,965,JOIN,3,0,0,ok
985,985,JOIN,4,0,0,ok
