category,metric,value
A,pdr,0.714286
A,throughput_kbps,2.56
A,avg_delay_ms,1.21944
A,jitter_ms,1.16944
A,loss_ratio,0.357143
A,routing_stability,0.2
A,connectivity_ratio,0.0285714
B,key_estab_ms,0.051875
B,rekey_latency_ms,0.05
B,total_rekeys,8
B,auth_success_rate,0.965517
B,forward_secrecy,1
B,backward_secrecy,1
B,replay_detection_rate,0
B,healing_success_rate,0
B,avg_session_recovery_ms,0
C,comm_overhead,1
C,rekey_overhead,0.410256
C,storage_per_uav_bytes,1568
C,ctrl_bytes_per_sec,27.3067
C,rekey_msg_cost_bytes,512
C,aes_enc_us,19647.7
C,aes_dec_us,0
C,hmac_us,0
C,crt_verify_us,26198.2
D,avg_sinr_db,19.8795
D,min_sinr_db,12.0001
D,sinr_stddev_db,5.66087
D,jammed_uav_ratio,0
D,recovery_after_jam_ms,0
D,link_failure_rate,0
D,interference_impact,0
E,cluster_head_stability,1
E,route_break_freq,0.000185185
E,mobility_rekey_corr,0
E,swarm_survivability,0.833333
E,handover_trigger_rate,0
