uav_count,run,seed,pdr,throughput_kbps,avg_delay_ms,rekey_latency_ms,total_rekeys,total_joins,total_leaves,total_compromises,total_handovers,security_overhead
6,0,42,0.698925,0.197173,224.444,0,8,15,12,1,1,0.123333
6,1,43,0.657534,0.11856,3,0,8,15,12,1,1,0.123333
6,2,44,0.742424,0.122853,3,0,8,15,12,1,1,0.123333
9,0,42,0.682171,0.303787,3.45455,0,8,15,12,1,1,0.123333
9,1,43,0.772727,0.132507,4.55556,0,8,15,12,1,1,0.123333
9,2,44,0.663636,0.234373,2.83333,0,8,15,12,1,1,0.123333
12,0,42,0.514925,0.21576,3.85714,0,8,15,12,1,1,0.123333
12,1,43,0.5,0.174,38.4286,0,8,15,12,1,1,0.123333
12,2,44,0.684211,0.317253,91.6923,0,8,15,12,1,1,0.123333
15,0,42,0.502439,0.37384,2.38889,0,8,15,12,1,1,0.123333
